lds_hash,case_id,participant_id,benefits_end_month,recent_benefit_months,protect_location
a3cab51dd68da2ac3e5508c8b0ee514ada03b9f166f7035b4ac26d9c56aa7bf9d6271e44c0064337a01b558ff63fd282de14eead7e8d5a613898b700589bcdec,caseid1,participantid1,2021-05,2021-04 2021-03 2021-02,true
9c7cfd016eaa384409deaa9b9032bb16f072489d6c80f95df3ecd32639182d8e87b45feccaf16cd903ee8c726a6fc5374cfc03c675e7de05fb3dc5f499c67c8f,caseid2,participantid2,,2021-05 2021-04,false
2c36d20b71952eb7b81e773b511a4f3fc4cee50eca0c6b46b0b72c8ebe2e505bec53da886eb7afcad2e943b2ab00f4719fe08f0f238eb2e30d6b73e6027e0d7e,caseid3,participantid3,,2021-05,
84377f6642f137fc3b3c8e49658298680bf7f0ed2d57093afa2818115052060fc49d0c3ea82ba4215e5ad4390184494445046fd2baa698cae1af294954abbfbf,caseid4,participantid4,,,
0c1d0b960bde75cb327014667fe62f8705a4fc290ba9fc5ac6fb2fcfb2a73820416475e315cc102edb6438c69c464af720f856182ac78261f979c7e42c001ad6,caseid5,participantid5,,,
96feab5195c1bedcf8d3ee58c0eb64eef5c58b27954c844a2ee327721a4c9a8a803ce6cd852a4edaad8a5d85ebc2ab3a1c990060a4cc455a0703f5ded610c56f,caseid6,participantid6,,,
247da6d47fea7e4f5d29333bdb25a214a9f6ca52b58707a0c198eeef6cc4446c43cc7ea0dece0db989607ce821ab21d3291e5ce3dbd9cfbafaea9ad3654f641d,caseid7,participantid7,,,
24da200f23dd6b5afb63293de2f1f67fe81373b23dc6b745836c212f519cae4476212f4c0be422fe04b1e71a98243801e2c6dc32a7f408d87d7b81dd19047216,caseid8,participantid8,,,
3cada14f6a1950093105e1ab6b81c4c0921e894601e7eaabbc208e930128a6ad41aa20b463fb381e5279085ed2e4703fc2ed520383e23c84518f9be1beb59404,caseid9,participantid9,,,
082e6b2cb88f0e2e9f256c6385ebfdf8b8e0db7dcfd098e785805570e4bad4a1a8e9b1761755ab85c60b8519eeee3a95f43bf75423fd95eb5b01ca273b0a1003,caseid10,participantid10,,,
