last,first,middle,dob,ssn,case_id,participant_id,benefits_end_month,recent_benefit_months,protect_location
Farrington,Theodore,Carri,10/13/31,425-46-5417,caseid1,participantid1,2021-05,2021-04 2021-03 2021-02,TRUE
Lynn,Wesley,Eura,8/1/40,195-26-4789,caseid2,participantid2,,2021-05 2021-04,FALSE
Cullen,S,,1/1/15,357-18-1705,caseid3,participantid3,,2021-05,
Alger,Megan,Kamala,1/25/20,400-36-2448,caseid4,participantid4,,,
Yu,,,11/2/73,282-20-6988,caseid5,participantid5,,,
Wallen,Homer,Madonna,4/4/13,127-20-6810,caseid6,participantid6,,,
Benner,Cristina,Wilton,7/22/61,375-30-7787,caseid7,participantid7,,,
Whittaker,Troy,G,2/15/85,573-38-4513,caseid8,participantid8,,,
Grier,Paulette,Tequila,12/24/97,404-28-9817,caseid9,participantid9,,,
Suarez,Amelia,Shavonda,1/19/50,575-24-8382,caseid10,participantid10,,,
